model,profile,field,present_pct
mistral,mistral_500,llama_summary,100.0
mistral,mistral_500,legislative_goal,100.0
mistral,mistral_500,policy_domain,100.0
mistral,mistral_500,key_provisions,100.0
mistral,mistral_500,intended_beneficiaries,99.79
mistral,mistral_500,legislative_strategy,100.0
mistral,mistral_500,increasing_aspects,89.72
mistral,mistral_500,decreasing_aspects,81.8
mistral,mistral_500,category_subcategory,100.0
mistral,mistral_500,ideological_alignment,71.09
mistral,mistral_500,potential_impact,100.0
mistral,mistral_500,impact_rating,100.0
mistral,mistral_500,intent,100.0
mistral,mistral_500,motivation,100.0
mistral,mistral_500,original_law,83.3
qwen,qwen_500,llama_summary,100.0
qwen,qwen_500,legislative_goal,97.86
qwen,qwen_500,policy_domain,97.64
qwen,qwen_500,key_provisions,96.57
qwen,qwen_500,intended_beneficiaries,96.79
qwen,qwen_500,legislative_strategy,84.15
qwen,qwen_500,increasing_aspects,92.08
qwen,qwen_500,decreasing_aspects,80.51
qwen,qwen_500,category_subcategory,97.64
qwen,qwen_500,ideological_alignment,77.94
qwen,qwen_500,potential_impact,86.3
qwen,qwen_500,impact_rating,88.22
qwen,qwen_500,intent,97.86
qwen,qwen_500,motivation,97.0
qwen,qwen_500,original_law,79.01
llama31,llama31_500,llama_summary,100.0
llama31,llama31_500,legislative_goal,98.72
llama31,llama31_500,policy_domain,99.57
llama31,llama31_500,key_provisions,98.93
llama31,llama31_500,intended_beneficiaries,98.72
llama31,llama31_500,legislative_strategy,98.29
llama31,llama31_500,increasing_aspects,98.29
llama31,llama31_500,decreasing_aspects,91.65
llama31,llama31_500,category_subcategory,99.79
llama31,llama31_500,ideological_alignment,98.07
llama31,llama31_500,potential_impact,100.0
llama31,llama31_500,impact_rating,100.0
llama31,llama31_500,intent,100.0
llama31,llama31_500,motivation,100.0
llama31,llama31_500,original_law,95.29
